,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
setosa_01,5.1,3.5,1.4,0.2,setosa
setosa_02,4.9,3.0,1.4,0.2,setosa
setosa_03,4.7,3.2,1.3,0.2,setosa
setosa_04,4.6,3.1,1.5,0.2,setosa
setosa_05,5.0,3.6,1.4,0.2,setosa
setosa_06,5.4,3.9,1.7,0.4,setosa
setosa_07,4.6,3.4,1.4,0.3,setosa
setosa_08,5.0,3.4,1.5,0.2,setosa
setosa_09,4.4,2.9,1.4,0.2,setosa
setosa_10,4.9,3.1,1.5,0.1,setosa
setosa_11,5.4,3.7,1.5,0.2,setosa
setosa_12,4.8,3.4,1.6,0.2,setosa
setosa_13,4.8,3.0,1.4,0.1,setosa
setosa_14,4.3,3.0,1.1,0.1,setosa
setosa_15,5.8,4.0,1.2,0.2,setosa
setosa_16,5.7,4.4,1.5,0.4,setosa
setosa_17,5.4,3.9,1.3,0.4,setosa
setosa_18,5.1,3.5,1.4,0.3,setosa
setosa_19,5.7,3.8,1.7,0.3,setosa
setosa_20,5.1,3.8,1.5,0.3,setosa
setosa_21,5.4,3.4,1.7,0.2,setosa
setosa_22,5.1,3.7,1.5,0.4,setosa
setosa_23,4.6,3.6,1.0,0.2,setosa
setosa_24,5.1,3.3,1.7,0.5,setosa
setosa_25,4.8,3.4,1.9,0.2,setosa
setosa_26,5.0,3.0,1.6,0.2,setosa
setosa_27,5.0,3.4,1.6,0.4,setosa
setosa_28,5.2,3.5,1.5,0.2,setosa
setosa_29,5.2,3.4,1.4,0.2,setosa
setosa_30,4.7,3.2,1.6,0.2,setosa
setosa_31,4.8,3.1,1.6,0.2,setosa
setosa_32,5.4,3.4,1.5,0.4,setosa
setosa_33,5.2,4.1,1.5,0.1,setosa
setosa_34,5.5,4.2,1.4,0.2,setosa
setosa_35,4.9,3.1,1.5,0.1,setosa
setosa_36,5.0,3.2,1.2,0.2,setosa
setosa_37,5.5,3.5,1.3,0.2,setosa
setosa_38,4.9,3.1,1.5,0.1,setosa
setosa_39,4.4,3.0,1.3,0.2,setosa
setosa_40,5.1,3.4,1.5,0.2,setosa
setosa_41,5.0,3.5,1.3,0.3,setosa
setosa_42,4.5,2.3,1.3,0.3,setosa
setosa_43,4.4,3.2,1.3,0.2,setosa
setosa_44,5.0,3.5,1.6,0.6,setosa
setosa_45,5.1,3.8,1.9,0.4,setosa
setosa_46,4.8,3.0,1.4,0.3,setosa
setosa_47,5.1,3.8,1.6,0.2,setosa
setosa_48,4.6,3.2,1.4,0.2,setosa
setosa_49,5.3,3.7,1.5,0.2,setosa
setosa_50,5.0,3.3,1.4,0.2,setosa
versicolor_01,7.0,3.2,4.7,1.4,versicolor
versicolor_02,6.4,3.2,4.5,1.5,versicolor
versicolor_03,6.9,3.1,4.9,1.5,versicolor
versicolor_04,5.5,2.3,4.0,1.3,versicolor
versicolor_05,6.5,2.8,4.6,1.5,versicolor
versicolor_06,5.7,2.8,4.5,1.3,versicolor
versicolor_07,6.3,3.3,4.7,1.6,versicolor
versicolor_08,4.9,2.4,3.3,1.0,versicolor
versicolor_09,6.6,2.9,4.6,1.3,versicolor
versicolor_10,5.2,2.7,3.9,1.4,versicolor
versicolor_11,5.0,2.0,3.5,1.0,versicolor
versicolor_12,5.9,3.0,4.2,1.5,versicolor
versicolor_13,6.0,2.2,4.0,1.0,versicolor
versicolor_14,6.1,2.9,4.7,1.4,versicolor
versicolor_15,5.6,2.9,3.6,1.3,versicolor
versicolor_16,6.7,3.1,4.4,1.4,versicolor
versicolor_17,5.6,3.0,4.5,1.5,versicolor
versicolor_18,5.8,2.7,4.1,1.0,versicolor
versicolor_19,6.2,2.2,4.5,1.5,versicolor
versicolor_20,5.6,2.5,3.9,1.1,versicolor
versicolor_21,5.9,3.2,4.8,1.8,versicolor
versicolor_22,6.1,2.8,4.0,1.3,versicolor
versicolor_23,6.3,2.5,4.9,1.5,versicolor
versicolor_24,6.1,2.8,4.7,1.2,versicolor
versicolor_25,6.4,2.9,4.3,1.3,versicolor
versicolor_26,6.6,3.0,4.4,1.4,versicolor
versicolor_27,6.8,2.8,4.8,1.4,versicolor
versicolor_28,6.7,3.0,5.0,1.7,versicolor
versicolor_29,6.0,2.9,4.5,1.5,versicolor
versicolor_30,5.7,2.6,3.5,1.0,versicolor
versicolor_31,5.5,2.4,3.8,1.1,versicolor
versicolor_32,5.5,2.4,3.7,1.0,versicolor
versicolor_33,5.8,2.7,3.9,1.2,versicolor
versicolor_34,6.0,2.7,5.1,1.6,versicolor
versicolor_35,5.4,3.0,4.5,1.5,versicolor
versicolor_36,6.0,3.4,4.5,1.6,versicolor
versicolor_37,6.7,3.1,4.7,1.5,versicolor
versicolor_38,6.3,2.3,4.4,1.3,versicolor
versicolor_39,5.6,3.0,4.1,1.3,versicolor
versicolor_40,5.5,2.5,4.0,1.3,versicolor
versicolor_41,5.5,2.6,4.4,1.2,versicolor
versicolor_42,6.1,3.0,4.6,1.4,versicolor
versicolor_43,5.8,2.6,4.0,1.2,versicolor
versicolor_44,5.0,2.3,3.3,1.0,versicolor
versicolor_45,5.6,2.7,4.2,1.3,versicolor
versicolor_46,5.7,3.0,4.2,1.2,versicolor
versicolor_47,5.7,2.9,4.2,1.3,versicolor
versicolor_48,6.2,2.9,4.3,1.3,versicolor
versicolor_49,5.1,2.5,3.0,1.1,versicolor
versicolor_50,5.7,2.8,4.1,1.3,versicolor
virginica_01,6.3,3.3,6.0,2.5,virginica
virginica_02,5.8,2.7,5.1,1.9,virginica
virginica_03,7.1,3.0,5.9,2.1,virginica
virginica_04,6.3,2.9,5.6,1.8,virginica
virginica_05,6.5,3.0,5.8,2.2,virginica
virginica_06,7.6,3.0,6.6,2.1,virginica
virginica_07,4.9,2.5,4.5,1.7,virginica
virginica_08,7.3,2.9,6.3,1.8,virginica
virginica_09,6.7,2.5,5.8,1.8,virginica
virginica_10,7.2,3.6,6.1,2.5,virginica
virginica_11,6.5,3.2,5.1,2.0,virginica
virginica_12,6.4,2.7,5.3,1.9,virginica
virginica_13,6.8,3.0,5.5,2.1,virginica
virginica_14,5.7,2.5,5.0,2.0,virginica
virginica_15,5.8,2.8,5.1,2.4,virginica
virginica_16,6.4,3.2,5.3,2.3,virginica
virginica_17,6.5,3.0,5.5,1.8,virginica
virginica_18,7.7,3.8,6.7,2.2,virginica
virginica_19,7.7,2.6,6.9,2.3,virginica
virginica_20,6.0,2.2,5.0,1.5,virginica
virginica_21,6.9,3.2,5.7,2.3,virginica
virginica_22,5.6,2.8,4.9,2.0,virginica
virginica_23,7.7,2.8,6.7,2.0,virginica
virginica_24,6.3,2.7,4.9,1.8,virginica
virginica_25,6.7,3.3,5.7,2.1,virginica
virginica_26,7.2,3.2,6.0,1.8,virginica
virginica_27,6.2,2.8,4.8,1.8,virginica
virginica_28,6.1,3.0,4.9,1.8,virginica
virginica_29,6.4,2.8,5.6,2.1,virginica
virginica_30,7.2,3.0,5.8,1.6,virginica
virginica_31,7.4,2.8,6.1,1.9,virginica
virginica_32,7.9,3.8,6.4,2.0,virginica
virginica_33,6.4,2.8,5.6,2.2,virginica
virginica_34,6.3,2.8,5.1,1.5,virginica
virginica_35,6.1,2.6,5.6,1.4,virginica
virginica_36,7.7,3.0,6.1,2.3,virginica
